reit_name,document_type,document_name,document_date,source_url,local_cache_path,sha256,downloaded_at,extraction_status,relevant_pages,notes
코람코라이프인프라리츠,dart_filings,DART 정기공시·투자보고서,,https://dart.fss.or.kr/,,,2026-07-15T05:48:24.442295+00:00,manual_review_required,,DART 고유번호 미확인으로 문서 목록 자동 수집 보류
이지스밸류플러스리츠,official_website,공식 홈페이지,,https://www.igisvaluereit.com,.cache\v15\source_documents\950e44d35502a7b4030e32505a55badbda8342e6664434c6af2171dc2b676adf.html,9acca0d12923a3b41211e70efcaa35d895b958a13cc4fbb231bf4568b2265d6e,2026-07-15T05:48:24.511516+00:00,cached_official_source,HTML,공식 홈페이지에서 직접 연결된 PDF 0건 식별
이지스밸류플러스리츠,dart_filings,DART 정기공시·투자보고서,,https://dart.fss.or.kr/,,,2026-07-15T05:48:24.511604+00:00,manual_review_required,,DART 고유번호 미확인으로 문서 목록 자동 수집 보류
제이알글로벌리츠,official_website,공식 홈페이지,,https://www.jrglobalreit.com,.cache\v15\source_documents\3605e23504e0a21f7d46d2af7d6d51a83879e55c304b96b6734f1aed6f47fb85.html,812bd08b26ca05df25989e21457ed09244f7dd42b49eba2a7d4bafbbeb739fb9,2026-07-15T05:48:24.572208+00:00,cached_official_source,HTML,공식 홈페이지에서 직접 연결된 PDF 0건 식별
제이알글로벌리츠,dart_filings,DART 정기공시·투자보고서,,https://dart.fss.or.kr/,,,2026-07-15T05:48:24.572303+00:00,manual_review_required,,DART 고유번호 미확인으로 문서 목록 자동 수집 보류
대신밸류리츠,official_website,공식 홈페이지,,http://www.daishinvaluereit.com,.cache\v15\source_documents\1a4c45526cb32b86fa9be4f0fef9d971a3316ab2e0f01091be64b29b9839aded.html,4b5729a8b461e0190c24b1ee3a25405be312687a8b4cb7bcce366309674c23ac,2026-07-15T05:48:24.647573+00:00,cached_official_source,HTML,공식 홈페이지에서 직접 연결된 PDF 0건 식별
대신밸류리츠,dart_filings,DART 정기공시·투자보고서,,https://dart.fss.or.kr/,,,2026-07-15T05:48:24.647663+00:00,manual_review_required,,DART 고유번호 미확인으로 문서 목록 자동 수집 보류
신한서부티엔디리츠,official_website,공식 홈페이지,,https://www.shsbreit.com,.cache\v15\source_documents\b7f4379457a45b9b164ca74bba5080f75750fd5d2de9c07b6d2aa7409cb41c88.html,8deb51d925e2fce9a1768a44b77aac08419f0f887122a9686702f4ee44065c9c,2026-07-15T05:48:24.650097+00:00,cached_official_source,HTML,공식 홈페이지에서 직접 연결된 PDF 0건 식별
신한서부티엔디리츠,dart_filings,DART 정기공시·투자보고서,,https://dart.fss.or.kr/,,,2026-07-15T05:48:24.650158+00:00,manual_review_required,,DART 고유번호 미확인으로 문서 목록 자동 수집 보류
KB스타리츠,official_website,공식 홈페이지,,http://www.kbstarreit.com,.cache\v15\source_documents\433b8b8ba3e4b0f064c604f963f3ef9e8abbdc4e3bb5ea268bdc59ebcaa0379b.html,5ab103bcbcb5c0318fdc12a806f23cfdfa68c75bd4a9785e73462b17d0ebff11,2026-07-15T05:48:24.758698+00:00,cached_official_source,HTML,공식 홈페이지에서 직접 연결된 PDF 0건 식별
KB스타리츠,dart_filings,DART 정기공시·투자보고서,,https://dart.fss.or.kr/,,,2026-07-15T05:48:24.758790+00:00,manual_review_required,,DART 고유번호 미확인으로 문서 목록 자동 수집 보류
이리츠코크렙,official_website,공식 홈페이지,,http://www.ereits.co.kr,.cache\v15\source_documents\fc2c2086d95c9a35e5e6c4c693114ef4c1904ab44e15bd65437ffe4239adb65c.html,c46941e77c4492ee3986ece474ef265822d34cb0c39b39637b8ee47055b60521,2026-07-15T05:48:24.785672+00:00,cached_official_source,HTML,공식 홈페이지에서 직접 연결된 PDF 0건 식별
이리츠코크렙,dart_filings,DART 정기공시·투자보고서,,https://dart.fss.or.kr/,,,2026-07-15T05:48:24.785793+00:00,manual_review_required,,DART 고유번호 미확인으로 문서 목록 자동 수집 보류
디앤디플랫폼리츠,official_website,공식 홈페이지,,https://www.dndplatformreit.com,.cache\v15\source_documents\a5b1864e1e35747b579eb9faeaf43908f990b4a07752522384604008c57a07ad.html,7d1c4af29bb2bbff5f812637038e2b98e0e0cd4a102680c05147c1325d41e639,2026-07-15T05:48:24.858353+00:00,cached_official_source,HTML,공식 홈페이지에서 직접 연결된 PDF 0건 식별
디앤디플랫폼리츠,dart_filings,DART 정기공시·투자보고서,,https://dart.fss.or.kr/,,,2026-07-15T05:48:24.858470+00:00,manual_review_required,,DART 고유번호 미확인으로 문서 목록 자동 수집 보류
NH올원리츠,official_website,공식 홈페이지,,https://www.nhallonereit.com,.cache\v15\source_documents\9a37efba5d9b03a09ab731958a8a925a9ceaf319a41554d5c7ffc81cab240415.html,a4b135b80c6546c2b12c948bfe64dbcf4b10bd1a9d0832e02cea7b7df22c12ae,2026-07-15T05:48:24.975688+00:00,cached_official_source,HTML,공식 홈페이지에서 직접 연결된 PDF 0건 식별
NH올원리츠,dart_filings,DART 정기공시·투자보고서,,https://dart.fss.or.kr/,,,2026-07-15T05:48:24.975775+00:00,manual_review_required,,DART 고유번호 미확인으로 문서 목록 자동 수집 보류
이지스레지던스리츠,official_website,공식 홈페이지,,https://www.igisresidencereit.com,.cache\v15\source_documents\268e43dd292298c2b6e66cca67f11fc5f4e4ecd54f7e3e1f3ee4843ea40dc992.html,d704888c592fa215624b71d6dd240fd65cad5f6a3e34ef5f7c3c4715acc0f32c,2026-07-15T05:48:25.046749+00:00,cached_official_source,HTML,공식 홈페이지에서 직접 연결된 PDF 0건 식별
이지스레지던스리츠,dart_filings,DART 정기공시·투자보고서,,https://dart.fss.or.kr/,,,2026-07-15T05:48:25.046860+00:00,manual_review_required,,DART 고유번호 미확인으로 문서 목록 자동 수집 보류
NH프라임리츠,official_website,공식 홈페이지,,http://nhprimereit.com,.cache\v15\source_documents\e0a31e09102050817cce43d3d404be78c318ebb9838842d01280250b6197ac8f.html,095044625e9d647b2f20d3ad6155000633144374ddb5cde2233782ccb85c045a,2026-07-15T05:48:25.118511+00:00,cached_official_source,HTML,공식 홈페이지에서 직접 연결된 PDF 0건 식별
NH프라임리츠,dart_filings,DART 정기공시·투자보고서,,https://dart.fss.or.kr/,,,2026-07-15T05:48:25.119312+00:00,manual_review_required,,DART 고유번호 미확인으로 문서 목록 자동 수집 보류
